Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,1c:3b:f3:3c:b3:1a,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:fd:0d:57:19:26,2c:57:41:d4:69:c2,44:d2:44:dd:32:40,48:51:cf:81:b0:9e,4c:e1:75:db:58:80,4c:e1:75:db:58:82,50:c7:bf:ef:56:8a,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,86:5d:e9:c5:47:8c,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:5d:4c:86:7e:66,da:38:d4:2e:cb:c6,e2:e7:86:8e:b8:de,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
65,Fibras ópticas,-81,,-63,-48,-67,,,,-83,-83,-68,,-79,-87,,,-88,,-40,-78,,-70,-91,-89,,,,,,,,,-85,-85,-86,-88,,,,,,,,,,-90,-97,-86,,,-66,-67,-87,-1952
66,Pesquisa Eng elétrica,-49,,-66,-74,-40,-95,,,,,-84,,-73,,,,-74,,-56,-79,,-77,,,,,,,-89,-90,,,-88,-87,-82,-83,,-90,,,,,,,,-87,-90,-85,,,-86,-86,-86,-1896
67,Pesquisa Eng elétrica,-50,,-66,-69,-42,,,,,,-86,,-71,,,,-80,,-59,-73,,-73,,,,,,,-88,-88,,,-86,-85,-82,-83,-86,-87,,,,,,,,-78,-89,-86,,,-82,-81,-89,-1859
68,Pesquisa Eng elétrica,-50,,-67,-71,-41,,,,,,-77,,-73,,,,-87,,-59,-73,,-76,,,,,,,-89,-86,,,,-87,-81,-82,-87,-91,,,,,,,,-88,-86,-85,-92,,-81,-81,-89,-1879
69,Pesquisa Eng elétrica,-51,,-68,-69,-39,,,,,,-81,,-71,,,,-88,,-57,-73,,-73,,,,,,,-89,-88,,,-86,-87,-81,-81,-88,-87,,,,,,,,-81,-89,-89,-94,,-83,-82,-89,-1964
70,Pesquisa Eng elétrica,-51,,-70,-69,-41,,,,,,-78,,-70,,,,-88,,-58,-74,,-74,,,,,,,-88,-88,,,-87,-84,-81,-80,-87,-87,,,,,,,,-87,-88,-91,-94,,-84,-83,-89,-1971
71,Práticas didáticas,-60,,-76,-72,-51,,,,,,-77,,-71,-73,,,-65,,-67,-64,,-77,,,,,,,-87,-87,,,,,-76,-76,-82,-82,,,,,,,,-83,-88,-93,-90,,-89,-88,,-1774
72,Práticas didáticas,-63,,-77,-71,-50,,,,,,-74,,-70,-72,,,-66,,-63,-62,,-78,,,,,,,-86,-86,,,,,-77,-77,-81,-80,,,,,,,,-77,-94,,,,-87,-88,,-1579
73,Práticas didáticas,-60,,-75,-70,-50,,,,,,-75,,-70,-72,,,-66,,-63,-64,,-79,,,,,,,-85,-86,,,,,-76,-76,-82,-81,,,,,,,,-79,-88,,,,-87,-87,,-1571
74,Práticas didáticas,-61,,-74,-71,-51,,,,,,-76,,-68,-72,,,-67,,-65,-65,,-81,,,,,,,-84,-83,,,,,-81,-81,-84,-83,,,,,,,,-83,-90,-94,,,-88,-87,,-1689
75,Práticas didáticas,-62,,-75,-71,-50,,,,,-90,-76,,-68,-71,,,-67,,-67,-65,,-79,,,,,,,-85,-85,,,,,-82,-81,-83,-82,,,,,,,,-78,-90,-95,,,,,-94,-1696
