Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
59,SalaTecnicos,-84,,,-74,-73,-81,-76,,,,,,,,-56,,,,,-79,,,-92,-62,-88,-92,,-72,,,,,-74,-73,,,,,,,,,-88,-88,-84,-83,,,,-88,,,-81,-82,,,,,,,,,-87,-70,,-77,-89,-89,-84,-2166
60,SalaTecnicos,-88,,,-77,-76,,-76,,,,,,,,-54,,,,,-85,,,-92,-64,-89,-93,,-74,,,,,-74,-74,,,,,,,,,-90,-91,-84,-85,,,-86,-86,,,-83,-84,,,,,,,,,-90,-69,,-76,,,-87,-2027
61,LabTelecomunicacoes,-84,,,-78,-71,-74,-80,,,,,,,,-63,,,,,-73,,,,-71,-84,-91,,-70,,,,-89,-77,-76,,,,,,,,,-89,-88,,,,,,,,,-77,-77,,,,,,-88,,,-88,-72,,-70,,,-88,-1818
62,LabTelecomunicacoes,-87,,,-84,-69,-73,-83,,,,,,,,-64,,,,,-76,,,,-67,-92,-93,,-76,,,-89,-88,-75,-77,,,,,,,,,-89,-87,-86,-87,,,,,,,-81,-81,,,,,,,,,,-74,,-68,-88,-88,-92,-2114
63,LabTelecomunicacoes,-89,,,-75,-71,,-78,,,,,,,,-59,,,,,-73,,,,-66,-87,-94,,-74,,,,,-77,-76,,,,,,,,,-89,-89,-87,-87,,,,,,,-81,-81,,,,,,,,,-81,-73,,-67,-89,-90,-88,-1921
64,LabTelecomunicacoes,-82,,,-75,-68,,-78,,,,,,,,-62,,,,,-74,,,,-65,-83,-90,,-74,,,,,-74,-75,,,,,,,,,-88,-89,-88,-87,,,,,,,-76,-76,,,,,,,,,-85,-76,,-67,-89,-90,-87,-1898
65,LabTelecomunicacoes,-86,,,-72,-71,,-81,,,,,,,,-61,,,,,-87,,,-94,-68,-82,-90,,-71,,,,,-74,-73,,,,,,,,,-90,-90,-87,-88,,,,,,,-77,-77,,,,,,,,,-86,-81,,-69,,,-84,-1839
66,PET,-78,,,-64,-69,-68,-70,,,,,,,,-71,,,,,-75,,,,-69,-81,,,-84,,,,,-90,-90,,,,,,,,,-87,-86,,,,,-89,-87,,,-77,-78,,,,,,,,,-84,-67,,-76,,,-74,-1714
67,PET,-84,,-93,-66,-74,,-70,,,,,,,,-67,,,,,-81,,,,-70,-76,,,-81,,,-91,-89,-85,-85,,,,,,,,,-81,-81,-88,-90,,,,,,,,,,,,,,,,,-81,-63,,-79,-90,-89,-77,-1931
68,PET,-82,,-94,-65,-72,,-74,,,,,,,,-67,,,,,-72,,,,-69,-75,,,-83,,,,-90,-84,-84,,,,,,,,,-81,-79,-88,-89,,,,,,,-76,-76,,,,,,,,,-78,-63,,-77,-88,-88,-74,-1968
